datetime_utc, _conds, _dewptm, _hum, _pressurem, _rain, _tempm
20030101-00:30,Fog,,,1017.0,0,
20030101-01:30,Fog,9.0,100.0,1018.0,0,9.0
20030101-02:30,Fog,9.0,100.0,1019.0,0,9.0
20030101-03:30,Fog,9.0,100.0,1019.0,0,9.0
20030101-04:30,Fog,10.0,94.0,1021.0,0,11.0
20030101-05:30,Fog,11.0,94.0,1021.0,0,12.0
20030101-06:30,Fog,12.0,94.0,1020.0,0,13.0
20030101-07:30,Mostly Cloudy,11.0,82.0,1019.0,0,14.0
20030101-08:30,Smoke,9.0,67.0,1019.0,0,15.0
20030101-09:30,Smoke,11.0,72.0,1019.0,0,16.0
20030101-10:30,Smoke,11.0,72.0,1019.0,0,16.0
20030101-11:30,Smoke,11.0,72.0,1019.0,0,16.0
20030101-12:30,Smoke,11.0,82.0,1019.0,0,14.0
20030101-13:30,Shallow Fog,11.0,82.0,1019.0,0,14.0
20030101-14:30,Shallow Fog,11.0,88.0,1020.0,0,13.0
20030101-15:30,Shallow Fog,11.0,94.0,1020.0,0,12.0
20030101-16:30,Fog,11.0,100.0,1020.0,0,11.0
20030101-17:30,Fog,10.0,94.0,1019.0,0,11.0
20030101-18:30,Fog,10.0,100.0,1019.0,0,10.0
20030101-19:30,Fog,8.0,93.0,1019.0,0,9.0
20030101-20:30,Fog,8.0,93.0,1019.0,0,9.0
20030101-21:30,Fog,8.0,100.0,1018.0,0,8.0
20030101-22:30,Fog,7.0,93.0,1018.0,0,8.0
20030101-23:30,Fog,8.0,100.0,1018.0,0,8.0
20030102-00:30,Fog,9.0,94.0,1018.0,0,10.0
20030102-01:30,Fog,8.0,87.0,1019.0,0,10.0
20030102-02:30,Fog,8.0,82.0,1021.0,0,11.0
20030102-03:30,Fog,10.0,88.0,1022.0,0,12.0
20030102-04:30,Fog,9.0,72.0,1022.0,0,14.0
20030102-05:30,Fog,11.0,77.0,1023.0,0,15.0
20030102-06:30,Fog,11.0,77.0,1022.0,0,15.0
20030102-07:30,Shallow Fog,11.0,72.0,1021.0,0,16.0
20030102-08:30,Fog,11.0,72.0,1021.0,0,16.0
20030102-09:30,Scattered Clouds,10.0,63.0,1020.0,0,17.0
20030102-10:30,Partly Cloudy,11.0,77.0,1020.0,0,15.0
20030102-11:30,Partly Cloudy,11.0,82.0,1020.0,0,14.0
20030102-12:30,Shallow Fog,11.0,88.0,1020.0,0,13.0
20030102-13:30,Shallow Fog,11.0,88.0,1021.0,0,13.0
20030102-14:30,Fog,11.0,94.0,1022.0,0,12.0
20030102-15:30,Fog,10.0,94.0,1022.0,0,11.0
20030102-16:30,Fog,10.0,94.0,1022.0,0,11.0
20030102-17:30,Fog,9.0,88.0,1022.0,0,11.0
20030102-18:30,Fog,10.0,100.0,1022.0,0,10.0
20030102-19:00,Unknown,,,-9999.0,0,
20030102-19:30,Fog,10.0,100.0,1021.0,0,10.0
20030102-20:30,Fog,10.0,100.0,1021.0,0,10.0
20030102-21:30,Fog,10.0,100.0,1021.0,0,10.0
20030102-22:30,Fog,10.0,100.0,1021.0,0,10.0
20030102-23:30,Fog,10.0,94.0,1020.0,0,11.0
20030103-00:30,Fog,10.0,94.0,1020.0,0,11.0
20030103-01:30,Fog,9.0,94.0,1021.0,0,10.0
20030103-02:30,Fog,10.0,100.0,1022.0,0,10.0
20030103-03:30,Fog,7.0,82.0,1023.0,0,10.0
20030103-04:30,Fog,9.0,88.0,1023.0,0,11.0
20030103-05:30,Partly Cloudy,9.0,72.0,1023.0,0,14.0
20030103-06:30,Mostly Cloudy,9.0,72.0,1022.0,0,14.0
20030103-07:30,Smoke,8.0,63.0,1021.0,0,15.0
20030103-09:30,Shallow Fog,8.0,67.0,1020.0,0,14.0
20030103-10:30,Shallow Fog,7.0,67.0,1020.0,0,13.0
20030103-11:30,Shallow Fog,10.0,82.0,1020.0,0,13.0
20030103-12:30,Shallow Fog,8.0,72.0,1020.0,0,13.0
20030103-13:30,Shallow Fog,10.0,88.0,1020.0,0,12.0
20030103-14:30,Smoke,9.0,82.0,1020.0,0,12.0
20030103-15:30,Mostly Cloudy,9.0,88.0,1020.0,0,11.0
20030103-16:30,Mostly Cloudy,9.0,88.0,1021.0,0,11.0
20030103-17:30,Mostly Cloudy,8.0,82.0,1021.0,0,11.0
20030103-18:30,Mostly Cloudy,8.0,87.0,1020.0,0,10.0
20030103-19:30,Mostly Cloudy,8.0,87.0,1020.0,0,10.0
20030103-20:30,Mist,,,-9999.0,0,
20030103-21:30,Shallow Fog,7.0,87.0,1020.0,0,9.0
20030103-22:30,Shallow Fog,,,1020.0,0,
20030103-23:30,Shallow Fog,6.0,82.0,1019.0,0,9.0
20030104-00:30,Mostly Cloudy,6.0,82.0,1019.0,0,9.0
20030104-01:30,Shallow Fog,7.0,87.0,1020.0,0,9.0
20030104-02:30,Mostly Cloudy,6.0,82.0,1021.0,0,9.0
20030104-03:30,Mostly Cloudy,6.0,82.0,1022.0,0,9.0
20030104-04:30,Mostly Cloudy,5.0,76.0,1023.0,0,9.0
20030104-05:30,Mostly Cloudy,5.0,71.0,1022.0,0,10.0
20030104-06:30,Mostly Cloudy,6.0,71.0,1021.0,0,11.0
20030104-07:30,Mostly Cloudy,6.0,63.0,1019.0,0,13.0
20030104-08:30,Mostly Cloudy,6.0,59.0,1018.0,0,14.0
20030104-09:30,Smoke,5.0,55.0,1018.0,0,14.0
20030104-10:30,Smoke,5.0,55.0,1018.0,0,14.0
20030104-11:30,Smoke,6.0,59.0,1018.0,0,14.0
20030104-12:30,Partly Cloudy,10.0,82.0,1018.0,0,13.0
20030104-13:30,Shallow Fog,9.0,82.0,1019.0,0,12.0
20030104-14:30,Fog,9.0,88.0,1019.0,0,11.0
20030104-15:30,Shallow Fog,9.0,94.0,1019.0,0,10.0
20030104-16:30,Shallow Fog,9.0,94.0,1019.0,0,10.0
20030104-17:30,Shallow Fog,8.0,87.0,1019.0,0,10.0
20030105-13:30,Volcanic Ash,,,-9999.0,0,
20030106-18:30,Fog,9.0,100.0,1020.0,0,9.0
20030106-19:00,Fog,8.0,100.0,1021.0,0,8.0
20030106-19:30,Fog,8.0,100.0,1020.0,0,8.0
20030106-20:00,Fog,8.0,100.0,1021.0,0,8.0
20030106-20:30,Fog,8.0,100.0,1020.0,0,8.0
20030106-21:30,Fog,8.0,100.0,1020.0,0,8.0
20030106-22:30,Fog,8.0,100.0,1020.0,0,8.0
20030106-23:30,Fog,8.0,100.0,1019.0,0,8.0
20030107-00:30,Fog,8.0,100.0,1020.0,0,8.0
20030107-01:30,Fog,7.0,100.0,1020.0,0,7.0
20030107-02:30,Fog,7.0,100.0,1021.0,0,7.0
20030107-03:30,Fog,6.0,93.0,1022.0,0,7.0
20030107-04:30,Fog,7.0,100.0,1022.0,0,7.0
20030107-05:30,Fog,6.0,87.0,1022.0,0,8.0
20030107-06:30,Fog,7.0,87.0,1021.0,0,9.0
20030107-07:30,Shallow Fog,7.0,82.0,1020.0,0,10.0
20030107-08:21,Shallow Fog,8.0,87.0,1020.0,0,10.0
20030107-09:30,Shallow Fog,8.0,87.0,1019.0,0,10.0
20030107-10:30,Shallow Fog,8.0,87.0,1019.0,0,10.0
20030107-11:30,Shallow Fog,8.0,87.0,1019.0,0,10.0
20030107-12:30,Shallow Fog,7.0,87.0,1020.0,0,9.0
20030107-13:30,Shallow Fog,6.0,82.0,1020.0,0,9.0
20030107-14:30,Shallow Fog,7.0,87.0,1021.0,0,9.0
20030107-15:30,Shallow Fog,7.0,82.0,1021.0,0,10.0
20030107-16:30,Shallow Fog,7.0,87.0,1021.0,0,9.0
20030107-17:30,Shallow Fog,6.0,82.0,1021.0,0,9.0
20030107-18:30,Shallow Fog,6.0,82.0,1020.0,0,9.0
20030107-19:30,Shallow Fog,5.0,76.0,1020.0,0,9.0
20030107-20:30,Shallow Fog,7.0,93.0,1020.0,0,8.0
20030107-21:30,Shallow Fog,5.0,81.0,1020.0,0,8.0
20030107-22:30,Shallow Fog,6.0,87.0,1019.0,0,8.0
20030108-00:30,Shallow Fog,6.0,93.0,1019.0,0,7.0
20030108-01:30,Mostly Cloudy,4.0,81.0,1020.0,0,7.0
20030108-02:30,Mist,4.0,81.0,1021.0,0,7.0
20030108-03:30,Mist,5.0,87.0,1021.0,0,7.0
20030108-04:30,Mist,5.0,87.0,1022.0,0,7.0
20030108-05:30,Mist,5.0,81.0,1022.0,0,8.0
20030108-06:30,Mist,5.0,76.0,1021.0,0,9.0
20030108-07:30,Mist,5.0,71.0,1020.0,0,10.0
20030108-08:30,Smoke,4.0,58.0,1018.0,0,12.0
20030108-09:30,Smoke,6.0,63.0,1018.0,0,13.0
20030108-10:30,Smoke,7.0,67.0,1018.0,0,13.0
20030108-11:30,Smoke,6.0,67.0,1017.0,0,12.0
20030108-12:30,Clear,8.0,87.0,1018.0,0,10.0
20030108-13:30,Shallow Fog,8.0,87.0,1018.0,0,10.0
20030108-14:30,Shallow Fog,8.0,93.0,1018.0,0,9.0
20030108-15:30,Fog,8.0,100.0,1019.0,0,8.0
20030108-16:30,Fog,7.0,100.0,1019.0,0,7.0
20030108-17:30,Fog,7.0,100.0,1019.0,0,7.0
20030108-18:30,Fog,7.0,100.0,1018.0,0,7.0
20030108-19:30,Fog,7.0,100.0,1018.0,0,7.0
20030108-20:30,Fog,6.0,100.0,1018.0,0,6.0
20030108-21:30,Fog,7.0,100.0,1019.0,0,7.0
20030108-22:30,Fog,7.0,100.0,1019.0,0,7.0
20030108-23:30,Unknown,7.0,93.0,1019.0,0,8.0
20030109-00:30,Fog,7.0,93.0,1019.0,0,8.0
20030109-01:30,Fog,7.0,93.0,1020.0,0,8.0
